Assembly Accession	Organism Name	Organism Taxonomic ID	Assembly BioProject Accession	Assembly BioSample Accession	Assembly Name	Organism Infraspecific Names Strain	Assembly BioSample Strain 	Assembly Sequencing Tech	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Genome Coverage	Assembly BioSample Project name  	Run Accession	Instrument Platform	CheckM completeness	CheckM contamination	CheckM completeness percentile
GCF_019448355.1	Achromobacter sp. ES-001	2860286	PRJNA747281	SAMN20284516	ASM1944835v1	ES-001	ES-001	Illumina;ONT	1	6544928	567.0		SRR15310574	OXFORD_NANOPORE	97.61	1.44	100.0
GCF_003994415.1	Achromobacter spanius	217203	PRJNA511771	SAMN10643443	ASM399441v1	UQ283	UQ283	PacBio	1	6687823	113.0		SRR8607288	PACBIO_SMRT	96.95	3.09	21.428572
GCF_016728825.1	Achromobacter xylosoxidans	85698	PRJNA231221	SAMN16357260	ASM1672882v1	FDAARGOS_1091	FDAARGOS_1091	Illumina;PacBio	2	6901970	394.4		SRR12934929	PACBIO_SMRT	95.68	6.98	94.21965
GCF_001558755.2	Achromobacter xylosoxidans	85698	PRJNA231221	SAMN03996290	ASM155875v2	FDAARGOS_147	FDAARGOS_147	Illumina;PacBio	2	6886958	281.6		SRR2820667	PACBIO_SMRT	96.2	3.47	98.84393
GCF_001558755.2	Achromobacter xylosoxidans	85698	PRJNA231221	SAMN03996290	ASM155875v2	FDAARGOS_147	FDAARGOS_147	Illumina;PacBio	2	6886958	281.6		SRR2820666	PACBIO_SMRT	96.2	3.47	98.84393
GCF_001559195.1	Achromobacter xylosoxidans	85698	PRJNA231221	SAMN03996294	ASM155919v2	FDAARGOS_150	FDAARGOS_150	Illumina;PacBio	1	6268754	332.9		SRR2821366	PACBIO_SMRT	91.35	2.91	10.982659
GCF_001559195.1	Achromobacter xylosoxidans	85698	PRJNA231221	SAMN03996294	ASM155919v2	FDAARGOS_150	FDAARGOS_150	Illumina;PacBio	1	6268754	332.9		SRR2821367	PACBIO_SMRT	91.35	2.91	10.982659
GCF_013343135.1	Achromobacter xylosoxidans	85698	PRJNA231221	SAMN11056504	ASM1334313v1	FDAARGOS_789	FDAARGOS_789	Illumina;PacBio	1	6806438	591.8		SRR9668097	PACBIO_SMRT	94.53	6.27	57.803467
GCF_013343135.1	Achromobacter xylosoxidans	85698	PRJNA231221	SAMN11056504	ASM1334313v1	FDAARGOS_789	FDAARGOS_789	Illumina;PacBio	1	6806438	591.8		SRR9668098	PACBIO_SMRT	94.53	6.27	57.803467
GCF_016027035.1	Achromobacter xylosoxidans	85698	PRJNA231221	SAMN13450445	ASM1602703v1	FDAARGOS_915	FDAARGOS_915	Illumina;PacBio	1	6812921	635.3		SRR12048245	PACBIO_SMRT	94.45	6.27	53.17919
GCF_025426095.1	Achromobacter xylosoxidans	85698	PRJNA812595	SAMN30715403	ASM2542609v1	2021CK-01139	2021CK-01139	Illumina;ONT	1	6611782	362.0		SRR21465445	OXFORD_NANOPORE	94.83	5.32	69.9422
GCF_033096405.1	Achromobacter xylosoxidans	85698	PRJDB15726	SAMD00597894	ASM3309640v1	H1_3_1	H1_3_1	PacBio	1	7071873	26.0		DRR461099	PACBIO_SMRT	94.4	9.46	51.445087
GCF_020735645.1	Acidaminococcus fermentans DSM 20731	591001	PRJNA231221	SAMN22091668	ASM2073564v1	FDAARGOS_1571	FDAARGOS_1571	Illumina;PacBio	1	2333188	3393.6		SRR17126946	PACBIO_SMRT	99.58	1.17	100.0
GCF_025144545.1	Acidaminococcus intestini	187327	PRJNA746600	SAMN20222632	ASM2514454v1	D21	D21	Illumina;ONT	1	2305309	100.0		SRR15171169	OXFORD_NANOPORE	96.72	0.32	96.61017
GCF_001602115.1	Acidipropionibacterium acidipropionici	1748	PRJNA310791	SAMN04455717	ASM160211v1	ATCC 55737	ATCC 55737	Illumina;PacBio	2	3707191	300.0		SRR3151455	PACBIO_SMRT	89.49	3.71	36.363636
GCF_001602115.1	Acidipropionibacterium acidipropionici	1748	PRJNA310791	SAMN04455717	ASM160211v1	ATCC 55737	ATCC 55737	Illumina;PacBio	2	3707191	300.0		SRR3168054	PACBIO_SMRT	89.49	3.71	36.363636
GCF_001855335.1	Acidipropionibacterium acidipropionici	1748	PRJNA322112	SAMN05017605	ASM185533v1	F3E8	F3E8	PacBio	1	3631890	300.0		SRR3544495	PACBIO_SMRT	89.01	2.52	18.181818
GCF_001855335.1	Acidipropionibacterium acidipropionici	1748	PRJNA322112	SAMN05017605	ASM185533v1	F3E8	F3E8	PacBio	1	3631890	300.0		SRR3544496	PACBIO_SMRT	89.01	2.52	18.181818
GCF_020844025.1	Acidithiobacillus ferriphilus	1689834	PRJNA751914	SAMN20559762	ASM2084402v1	GT2	GT2	PacBio	2	2539320	50.0		SRR15345381	PACBIO_SMRT	97.16	2.07	42.857143
GCF_020887015.1	Acidithiobacillus ferrooxidans	920	PRJDB12184	SAMD00400416	ASM2088701v1	NFP31	NFP31	Illumina;ONT	2	3249854	422.0	Genome sequence of Acidithiobacillus ferrooxidans NFP31	DRR315459	OXFORD_NANOPORE	96.14	9.21	83.333336
GCF_008926505.1	Acidithiobacillus sp. 'AMD consortium'	2614801	PRJNA573091	SAMN12799170	ASM892650v1	AMD consortium	AMD consortium	PacBio	1	2933811	333.0		SRR10222673	PACBIO_SMRT	98.79	3.21	100.0
GCF_037101375.1	Acidovorax sp. DW039	3095606	PRJDB17029	SAMD00659498	ASM3710137v1	DW039	DW039	PacBio	2	5219685	137.0		DRR514962	PACBIO_SMRT	98.71	1.43	100.0
GCF_028473645.1	Acidovorax sp. GBBC 1281	2940492	PRJNA834920	SAMN28084394	ASM2847364v1	GBBC 1281	GBBC 1281	Illumina;ONT	2	5708010	270.0		SRR19119756	OXFORD_NANOPORE	98.64	2.56	100.0
GCF_028473465.1	Acidovorax sp. GBBC 712	2940491	PRJNA834920	SAMN28084393	ASM2847346v1	GBBC 712	GBBC 712	Illumina;ONT	1	5586262	277.0		SRR19119757	OXFORD_NANOPORE	99.25	1.07	100.0
GCF_028473605.1	Acidovorax sp. NCPPB 3576	2940488	PRJNA834920	SAMN28084390	ASM2847360v1	NCPPB 3576	NCPPB 3576	Illumina;ONT	1	5414205	292.0		SRR19119760	OXFORD_NANOPORE	98.88	2.46	100.0
GCF_028473585.1	Acidovorax sp. NCPPB 3859	2940489	PRJNA834920	SAMN28084391	ASM2847358v1	NCPPB 3859	NCPPB 3859	Illumina;ONT	1	5593754	298.0		SRR19119759	OXFORD_NANOPORE	99.25	1.07	100.0
GCF_001714725.1	Acidovorax sp. RAC01	1842533	PRJNA319830	SAMN04909706	ASM171472v1	RAC01	RAC01	PacBio	1	4574859	198.0		SRR3880289	PACBIO_SMRT	98.94	0.95	100.0
GCF_028596105.1	Acidovorax temperans	80878	PRJNA930884	SAMN33025486	ASM2859610v1	LMJ	LMJ	PacBio	3	4730769	2535.7		SRR23501622	PACBIO_SMRT	98.72	0.45	70.0
GCF_009035845.1	Acinetobacter baumannii	470	PRJNA557095	SAMN12389466	ASM903584v1	ATCC 19606	ATCC 19606	Illumina;ONT	3	3999136	100.0		SRR10248708	OXFORD_NANOPORE	99.52	0.06	39.490444
GCF_009035845.1	Acinetobacter baumannii	470	PRJNA557095	SAMN12389466	ASM903584v1	ATCC 19606	ATCC 19606	Illumina;ONT	3	3999136	100.0		SRR11558418	OXFORD_NANOPORE	99.52	0.06	39.490444
GCF_000746605.1	Acinetobacter baumannii	470	PRJNA256158	SAMN02940901	ASM74660v1	AB31	AB31	PacBio	1	3803317	88.9		SRR1572754	PACBIO_SMRT	99.78	0.82	62.767807
GCF_000746605.1	Acinetobacter baumannii	470	PRJNA256158	SAMN02940901	ASM74660v1	AB31	AB31	PacBio	1	3803317	88.9		SRR1572803	PACBIO_SMRT	99.78	0.82	62.767807
GCF_000746605.1	Acinetobacter baumannii	470	PRJNA256158	SAMN02940901	ASM74660v1	AB31	AB31	PacBio	1	3803317	88.9		SRR1572804	PACBIO_SMRT	99.78	0.82	62.767807
GCF_000746645.1	Acinetobacter baumannii	470	PRJNA256157	SAMN02940899	ASM74664v1	AB30	AB30	PacBio	1	4335793	93.3		SRR1571547	PACBIO_SMRT	99.57	0.98	42.749607
GCF_000746645.1	Acinetobacter baumannii	470	PRJNA256157	SAMN02940899	ASM74664v1	AB30	AB30	PacBio	1	4335793	93.3		SRR1571548	PACBIO_SMRT	99.57	0.98	42.749607
GCF_000746645.1	Acinetobacter baumannii	470	PRJNA256157	SAMN02940899	ASM74664v1	AB30	AB30	PacBio	1	4335793	93.3		SRR1571541	PACBIO_SMRT	99.57	0.98	42.749607
GCF_000814345.1	Acinetobacter baumannii	470	PRJNA270223	SAMN03263969	ASM81434v1	6200	6200	PacBio	4	4073976	10.1		SRR1740567	PACBIO_SMRT	97.93	0.84	5.385061
GCF_000814345.1	Acinetobacter baumannii	470	PRJNA270223	SAMN03263969	ASM81434v1	6200	6200	PacBio	4	4073976	10.1		SRR1740568	PACBIO_SMRT	97.93	0.84	5.385061
GCF_000830055.1	Acinetobacter baumannii	470	PRJNA269083	SAMN03248539	ASM83005v1	A1		Illumina;PacBio	2	3917739	280.0		SRR8204826	PACBIO_SMRT	99.61	0.25	51.617172
GCF_001026965.1	Acinetobacter baumannii	470	PRJNA273343	SAMN03290686	ASM102696v1	XH386	XH386	Illumina;PacBio	2	4199500			SRR2120749	PACBIO_SMRT	99.61	0.17	51.617172
GCF_001399655.1	Acinetobacter baumannii	470	PRJNA294725	SAMN04029125	ASM139965v1	D36	D36	PacBio	5	4131161	150.0		SRR8204827	PACBIO_SMRT	98.94	0.6	14.202994
GCF_001514375.1	Acinetobacter baumannii	470	PRJNA291316	SAMN03941550	ASM151437v1	KBN10P02143	KBN10P02143	PacBio	2	4139396	142.0		SRR3063815	PACBIO_SMRT	99.19	0.17	21.416164
GCF_001573065.1	Acinetobacter baumannii	470	PRJNA290306	SAMN03890258	ASM157306v1	XH860	XH860	PacBio	1	3846621	70.0		SRR2120746	PACBIO_SMRT	99.13	0.19	19.27372
GCF_001573085.1	Acinetobacter baumannii	470	PRJNA290306	SAMN03890257	ASM157308v1	XH859	XH859	PacBio	1	3977071	70.0		SRR2120748	PACBIO_SMRT	99.14	0.17	19.40607
GCF_001573105.1	Acinetobacter baumannii	470	PRJNA290306	SAMN03890255	ASM157310v1	XH857	XH857	PacBio	1	3879636	70.0		SRR2120745	PACBIO_SMRT	99.53	0.34	39.76342
GCF_001573125.1	Acinetobacter baumannii	470	PRJNA290306	SAMN03890253	ASM157312v1	XH856	XH856	PacBio	1	3908399	70.0		SRR2119615	PACBIO_SMRT	99.58	0.17	43.196293
GCF_001578145.1	Acinetobacter baumannii	470	PRJNA290306	SAMN03890256	ASM157814v1	XH858	XH858	PacBio	1	4172609	70.0		SRR2120747	PACBIO_SMRT	98.76	0.25	10.902473
GCF_001668465.2	Acinetobacter baumannii	470	PRJNA271775	SAMN05238697	ASM166846v2	ABUH773	ABUH773	ONT	2	3885710	200.0		SRR10173073	OXFORD_NANOPORE	99.94	0.17	98.80884
GCF_001668465.2	Acinetobacter baumannii	470	PRJNA271775	SAMN05238697	ASM166846v2	ABUH773	ABUH773	ONT	2	3885710	200.0		SRR10173072	OXFORD_NANOPORE	99.94	0.17	98.80884
GCF_001668465.2	Acinetobacter baumannii	470	PRJNA271775	SAMN05238697	ASM166846v2	ABUH773	ABUH773	ONT	2	3885710	200.0		SRR10173075	OXFORD_NANOPORE	99.94	0.17	98.80884
GCF_001668465.2	Acinetobacter baumannii	470	PRJNA271775	SAMN05238697	ASM166846v2	ABUH773	ABUH773	ONT	2	3885710	200.0		SRR10173077	OXFORD_NANOPORE	99.94	0.17	98.80884
