Run Accession	Assembly Accession	Organism Name	Organism Taxonomic ID	Assembly BioProject Accession	Assembly BioSample Accession	Assembly Name	Organism Infraspecific Names Strain	Assembly BioSample Strain 	Assembly Sequencing Tech	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Genome Coverage	Assembly BioSample Project name  	Instrument Platform	CheckM completeness	CheckM contamination	CheckM completeness percentile	Assembly Release Date
SRR11096308	GCF_030585225.1	Acinetobacter baumannii	470	PRJNA557486	SAMN12287008	ASM3058522v1	18WIARLN0035	18WIARLN0035	ONT	3	4073650	570.0		OXFORD_NANOPORE	99.9	0.46	83.638016	2023-08-02
SRR11096309	GCF_030585245.1	Acinetobacter baumannii	470	PRJNA557486	SAMN12287006	ASM3058524v1	18WIARLN0025	18WIARLN0025	ONT	3	4065371	169.0		OXFORD_NANOPORE	99.94	0.46	98.80884	2023-08-02
SRR11096311	GCF_030585285.1	Acinetobacter baumannii	470	PRJNA557486	SAMN12287002	ASM3058528v1	18WIARLN0023	18WIARLN0023	ONT	3	4094766	460.0		OXFORD_NANOPORE	99.94	0.84	98.80884	2023-08-02
SRR11096313	GCF_030585325.1	Acinetobacter baumannii	470	PRJNA557486	SAMN12286998	ASM3058532v1	18WIARLN0021	18WIARLN0021	ONT	4	4062813	337.0		OXFORD_NANOPORE	99.94	0.17	98.80884	2023-08-02
SRR26643493	GCF_030704325.1	Acinetobacter baumannii	470	PRJNA812595	SAMN36514286	ASM3070432v1	2023CK-00890	2023CK-00890	Illumina;ONT	2	3935353	40.0		OXFORD_NANOPORE	99.83	0.25	75.994705	2023-08-09
SRR25480262	GCF_030704325.1	Acinetobacter baumannii	470	PRJNA812595	SAMN36514286	ASM3070432v1	2023CK-00890	2023CK-00890	Illumina;ONT	2	3935353	40.0		OXFORD_NANOPORE	99.83	0.25	75.994705	2023-08-09
SRR27710535	GCF_034126645.1	Acinetobacter baumannii	470	PRJNA812595	SAMN38646042	ASM3412664v2	2023CK-01487	2023CK-01487	Illumina;ONT	2	4120089	50.0		OXFORD_NANOPORE	99.94	0.17	98.80884	2024-02-01
SRR29099095	GCF_038069235.1	Acinetobacter baumannii	470	PRJNA812595	SAMN40921371	ASM3806923v2	2024CK-00375	2024CK-00375	Illumina;ONT	3	4026995	20.0		OXFORD_NANOPORE	99.83	0.25	75.994705	2024-06-12
SRR29099096	GCF_038069255.1	Acinetobacter baumannii	470	PRJNA812595	SAMN40921370	ASM3806925v2	2024CK-00376	2024CK-00376	Illumina;ONT	3	4026412	60.0		OXFORD_NANOPORE	99.83	0.25	75.994705	2024-06-12
SRR26465471	GCF_038441205.1	Acinetobacter baumannii	470	PRJNA1000275	SAMN36766191	ASM3844120v1	2006S08-082	2006S08-082	ONT	4	4224788	80.0		OXFORD_NANOPORE	99.94	0.25	98.80884	2024-04-25
SRR26465472	GCF_038441215.1	Acinetobacter baumannii	470	PRJNA1000275	SAMN36766190	ASM3844121v1	2008C02-166	2008C02-166	ONT	3	4303228	80.0		OXFORD_NANOPORE	99.94	0.25	98.80884	2024-04-25
SRR26465473	GCF_038441225.1	Acinetobacter baumannii	470	PRJNA1000275	SAMN36766189	ASM3844122v1	2010N16-194	2010N16-194	ONT	2	3931757	80.0		OXFORD_NANOPORE	99.94	0.25	98.80884	2024-04-25
SRR26465474	GCF_038441235.1	Acinetobacter baumannii	470	PRJNA1000275	SAMN36766188	ASM3844123v1	2008N08-156	2008N08-156	ONT	3	4124926	80.0		OXFORD_NANOPORE	99.94	0.17	98.80884	2024-04-25
SRR29099102	GCF_038522965.1	Acinetobacter baumannii	470	PRJNA812595	SAMN41094845	ASM3852296v2	2024CK-00537	2024CK-00537	Illumina;ONT	2	3996574	25.0		OXFORD_NANOPORE	99.94	0.17	98.80884	2024-06-12
SRR29099103	GCF_038627255.1	Acinetobacter baumannii	470	PRJNA812595	SAMN41094844	ASM3862725v2	2024CK-00538	2024CK-00538	Illumina;ONT	2	3992193	25.0		OXFORD_NANOPORE	99.94	0.17	98.80884	2024-06-12
SRR29099101	GCF_038627275.1	Acinetobacter baumannii	470	PRJNA812595	SAMN41094846	ASM3862727v2	2024CK-00536	2024CK-00536	Illumina;ONT	2	4002559	25.0		OXFORD_NANOPORE	99.94	0.17	98.80884	2024-06-12
SRR28926170	GCF_039518815.1	Acinetobacter baumannii	470	PRJNA812595	SAMN40557123	ASM3951881v2	2024CK-00319	2024CK-00319	Illumina;ONT	2	3908574	20.0		OXFORD_NANOPORE	99.83	0.25	75.994705	2024-05-24
SRR29012380	GCF_039780165.1	Acinetobacter baumannii	470	PRJNA812075	SAMN41384382	ASM3978016v1	D13	D13	Illumina;ONT	4	4112033	75.0		OXFORD_NANOPORE	99.86	0.34	79.84118	2024-05-24
SRR8993900	GCF_005519135.2	Acinetobacter baumannii ACICU	405416	PRJNA474045	SAMN09302593	ASM551913v2	ACICU	ACICU	Illumina;ONT	3	4013643	243.0		OXFORD_NANOPORE	99.94	0.17	98.80884	2021-04-02
DRR286071	GCF_018324105.1	Acinetobacter bouvetii	202951	PRJDB11476	SAMD00294604	ASM1832410v1	JCM 18991	JCM 18991	Illumina;ONT	1	3399245	390.0	Genome information of non-pathogenic bacteria closely related to pathogenic bacteria	OXFORD_NANOPORE	99.74	0.11	100.0	2021-04-22
SRR10672473	GCF_009892265.1	Acinetobacter haemolyticus	29430	PRJNA311558	SAMN09927974	ASM989226v1	AN43	AN43	PacBio	3	3669945	220.0		PACBIO_SMRT	99.99	0.62	100.0	2020-01-16
SRR10672466	GCF_009892285.1	Acinetobacter haemolyticus	29430	PRJNA311558	SAMN09927973	ASM989228v1	AN4	AN4	PacBio	5	3674400	104.0		PACBIO_SMRT	99.99	0.11	100.0	2020-01-16
SRR10672468	GCF_009892325.1	Acinetobacter haemolyticus	29430	PRJNA311558	SAMN09927972	ASM989232v1	AN3	AN3	PacBio	4	3396816	95.0		PACBIO_SMRT	99.99	0.09	100.0	2020-01-16
SRR12720144	GCF_017309445.1	Acinetobacter indicus	756892	PRJNA665940	SAMN16275416	ASM1730944v1	GXNN62X4	GXNN62X4	ONT	1	3013505	100.0		OXFORD_NANOPORE	99.92	0.53	97.76119	2021-03-09
SRR30357352	GCF_041714735.1	Acinetobacter lactucae	1785128	PRJNA288601	SAMN42837559	ASM4171473v1	2024CK-01095	2024CK-01095	Illumina;ONT	1	3954841	50.0		OXFORD_NANOPORE	99.99	0.18	91.666664	2024-09-03
SRR26465469	GCF_038441185.1	Acinetobacter nosocomialis	106654	PRJNA1000275	SAMN36766193	ASM3844118v1	2014S01-097	2014S01-097	ONT	7	4211219	80.0		OXFORD_NANOPORE	95.1	1.91	91.935486	2024-04-25
SRR13181968	GCF_016890065.1	Acinetobacter pittii	48296	PRJNA231221	SAMN16357358	ASM1689006v1	FDAARGOS_1216	FDAARGOS_1216	Illumina;PacBio	1	3928855	2126.4		PACBIO_SMRT	99.99	0.33	92.15956	2021-02-15
SRR15070654	GCF_019046965.1	Acinetobacter pittii	48296	PRJNA231221	SAMN16357540	ASM1904696v1	FDAARGOS 1398	FDAARGOS 1398	Illumina;PacBio	1	3838032	7460.8		PACBIO_SMRT	99.99	0.12	92.15956	2021-06-28
SRR15070656	GCF_019047205.1	Acinetobacter pittii	48296	PRJNA231221	SAMN16357541	ASM1904720v1	FDAARGOS 1399	FDAARGOS 1399	Illumina;PacBio	4	3980134	5273.5		PACBIO_SMRT	99.99	0.09	92.15956	2021-06-28
SRR26465468	GCF_038441175.1	Acinetobacter pittii	48296	PRJNA1000275	SAMN36766194	ASM3844117v1	2014S07-126	2014S07-126	ONT	5	4320961	80.0		OXFORD_NANOPORE	99.99	0.16	92.15956	2024-04-25
SRR24833077	GCF_042764305.1	Acinetobacter pittii	48296	PRJNA980403	SAMN35628656	ASM4276430v1	PC870	PC870	ONT	3	4183601	521.0		OXFORD_NANOPORE	99.99	0.24	92.15956	2024-10-10
SRR24833082	GCF_042764305.1	Acinetobacter pittii	48296	PRJNA980403	SAMN35628656	ASM4276430v1	PC870	PC870	ONT	3	4183601	521.0		OXFORD_NANOPORE	99.99	0.24	92.15956	2024-10-10
SRR24833076	GCF_042764305.1	Acinetobacter pittii	48296	PRJNA980403	SAMN35628656	ASM4276430v1	PC870	PC870	ONT	3	4183601	521.0		OXFORD_NANOPORE	99.99	0.24	92.15956	2024-10-10
SRR24833095	GCF_042764305.1	Acinetobacter pittii	48296	PRJNA980403	SAMN35628656	ASM4276430v1	PC870	PC870	ONT	3	4183601	521.0		OXFORD_NANOPORE	99.99	0.24	92.15956	2024-10-10
SRR24833096	GCF_042764305.1	Acinetobacter pittii	48296	PRJNA980403	SAMN35628656	ASM4276430v1	PC870	PC870	ONT	3	4183601	521.0		OXFORD_NANOPORE	99.99	0.24	92.15956	2024-10-10
SRR12328710	GCF_039725555.1	Acinetobacter seifertii	1530123	PRJNA607827	SAMN15646566	ASM3972555v1	E-022166	E-022166	Illumina;ONT	6	4208122	100.0		OXFORD_NANOPORE	99.99	0.74	91.489365	2024-05-24
SRR18293241	GCF_013374795.1	Acinetobacter sp. NEB 394	2743575	PRJNA638470	SAMN15195663	ASM1337479v1	NEB 394	NEB 394	PacBio	15	3842079	217.0		PACBIO_SMRT	99.87	0.36	100.0	2020-06-27
SRR18293240	GCF_013374795.1	Acinetobacter sp. NEB 394	2743575	PRJNA638470	SAMN15195663	ASM1337479v1	NEB 394	NEB 394	PacBio	15	3842079	217.0		PACBIO_SMRT	99.87	0.36	100.0	2020-06-27
SRR23998934	GCF_032821795.1	Acinetobacter sp. SAAs470	3036709	PRJNA949389	SAMN33787962	ASM3282179v1	SAAs470	SAAs470	Illumina;ONT	13	3523847	100.0		OXFORD_NANOPORE	98.28	0.95	100.0	2023-10-18
SRR23998943	GCF_032823475.1	Acinetobacter sp. SAAs474	3036710	PRJNA949389	SAMN33787964	ASM3282347v1	SAAs474	SAAs474	Illumina;ONT	13	3523830	100.0		OXFORD_NANOPORE	98.28	0.95	100.0	2023-10-18
DRR295877	GCF_019702905.1	Acinetobacter sp. Tol 5	710648	PRJDB11707	SAMD00324391	ASM1970290v1	Tol 5	Tol 5	Illumina;ONT	2	4799506	100.0	Complete genome of Acinetobacter sp. Tol 5	OXFORD_NANOPORE	99.42	2.88	100.0	2021-06-09
SRR29761485	GCF_027105035.1	Acinetobacter sp. TR11	3003393	PRJNA908737	SAMN32040087	ASM2710503v1	TR11	TR11	Illumina;ONT	8	3390740	120.0		OXFORD_NANOPORE	99.86	0.71	100.0	2022-12-20
SRR29761484	GCF_027105055.1	Acinetobacter sp. TR3	3003392	PRJNA908737	SAMN32040086	ASM2710505v1	TR3	TR3	Illumina;ONT	13	3357622	120.0		OXFORD_NANOPORE	99.94	0.36	100.0	2022-12-20
SRR19572345	GCF_023824315.1	Acinetobacter tibetensis	2943497	PRJNA837216	SAMN28192584	ASM2382431v1	Y-23	Y-23	Illumina;PacBio	2	3390424	1650.0		PACBIO_SMRT	99.9	0.6	100.0	2022-06-15
SRR12824650	GCF_017498585.1	Acinetobacter towneri	202956	PRJNA669159	SAMN16439931	ASM1749858v1	GX3	GX3	ONT	3	2799835	100.0		OXFORD_NANOPORE	99.21	0.53	98.4375	2021-03-21
SRR12824648	GCF_017498625.1	Acinetobacter towneri	202956	PRJNA669159	SAMN16439933	ASM1749862v1	GX7	GX7	ONT	2	3020299	100.0		OXFORD_NANOPORE	99.21	0.53	98.4375	2021-03-21
SRR16249284	GCF_020099375.1	Acinetobacter variabilis	70346	PRJNA231221	SAMN21218843	ASM2009937v1	FDAARGOS_1487	FDAARGOS_1487	Illumina;PacBio	5	3484743	2622.3		PACBIO_SMRT	99.79	0.39	79.48718	2021-09-23
SRR21465926	GCF_025398455.1	Acinetobacter variabilis	70346	PRJNA812595	SAMN19317614	ASM2539845v1	2021CK-01005	2021CK-01005	Illumina;ONT	8	3503981	10.0		OXFORD_NANOPORE	99.89	0.56	82.051285	2022-09-25
SRR21563520	GCF_036250345.1	Actinacidiphila glaucinigra	235986	PRJNA747871	SAMN30553418	ASM3625034v1	NBC 01694	NBC 01694	ONT	1	8671343	43.0		OXFORD_NANOPORE	99.62	1.23	100.0	2024-01-26
